Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22609522,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"Browder, Bill",,"=""147675571X""","=""9781476755717""",5,4.44,Simon & Schuster,Hardcover,380,2015,2015,2022/11/03,2022/10/14,"biography, non-fiction","biography (#4), non-fiction (#12)",read,"This is about as wild as a biography gets, so much so that it sometimes read like a fiction novel!<br/><br/>It was eye-opening learning about the level of power held by the Russian government, I also enjoyed the hedge fund aspect in the beginning.",,,1,0
11144099,"Wizard and Glass (The Dark Tower, #4)",Stephen  King,"King, Stephen",,"=""1848941129""","=""9781529399226""",5,4.27,,Kindle Edition,728,2003,1997,2024/04/01,2024/01/06,"fantasy, sci-fi, fiction","fantasy (#6), sci-fi (#5), fiction (#13)",read,"Hands down my favourite book of the series (so far). I was hesitant to get into this because I knew it focused on Roland's past rather than a continuation of the story, but I am so glad that I finally read it!<br/><br/>This story was so dark, so twisted and just as heart breaking.<br/><br/>Rhea of the Cöos is easily one of the most unsettling characters in the entire series, and that’s saying a lot for Stephen King...",,,1,0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.34,Random House Worlds,Kindle Edition,1125,2011,2011,2023/12/05,2023/09/13,"fiction, fantasy","fiction (#5), fantasy (#1)",read,"WHOLE SERIES REVIEW (BOOKS 1-5)<br/><br/>A masterpiece but not an easy read!<br/><br/>George R.R. Martin wrote some brilliant characters and a tale of epic proportion. It’s dark, brutal, unpredictable, and filled with such complex individuals. Experiencing the story through unique character viewpoints was a deep experience.<br/><br/>The only real downside is the length. Each book is massive, and the decision to split the last two by character (instead of timeline) made it feel painfully slow at times. But even then, it never stopped being impressive.",,,1,0
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,4.09,Ballantine Books,ebook,258,2008,1968,2025/03/14,2025/03/06,"fiction, sci-fi","fiction (#23), sci-fi (#13)",read,"Not your typical sci-fi novel!<br/><br/>I liked the philosophical aspect of the book and the general dystopian feel. However, the actual story and characters themselves lacked a certain depth.<br/><br/>Also, what a cool book title.",,,1,0
1290158,Trading and Exchanges: Market Microstructure for Practitioners,Larry Harris,"Harris, Larry",,"=""0195144708""","=""9780195144703""",4,4.25,Oxford University Press,Hardcover,656,2002,2002,2025/07/16,2025/06/08,"business-finance, non-fiction","business-finance (#10), non-fiction (#35)",read,"This was a tough read but will serve as an extremely good foundation for anything market related.<br/><br/>The deep dive into liquidity was fascinating, and learning about market makers really stuck with me.",,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.42,Crown Publishers,Hardcover,369,2014,2011,2025/03/27,2025/03/12,"fiction, sci-fi","fiction (#24), sci-fi (#14)",read,A fun and well executed story.<br/><br/>I found it quite predictable and was never truly feared for Watney. But his problem solving was entertaining.,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",5,4.46,Random House,Hardcover,352,2018,2018,2022/10/14,2022/09/07,"biography, non-fiction","biography (#5), non-fiction (#17)",read,"One of the best biographies out there, and a very easy non-fiction read.<br/><br/>It was interesting getting a peak into the world of extreme Mormon survivalism (which to me is just so wild), but also an all-round touching and inspiring story.",,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.31,Tor,Mass Market Paperback,324,2004,1985,,2025/11/02,to-read,to-read (#158),to-read,,,,0,0
56790170,The Premonition: A Pandemic Story,Michael   Lewis,"Lewis, Michael",,"=""0393881555""","=""9780393881554""",0,4.32,W. W. Norton & Company,Hardcover,304,2021,2021,,2025/11/02,to-read,to-read (#157),to-read,,,,0,0
54222022,Token Economy: How the Web3 reinvents the Internet,Shermin Voshmgir,"Voshmgir, Shermin",,"=""""","=""""",3,4.14,Token Kitchen,Kindle Edition,364,2020,,2021/10/30,2025/10/25,"crypto, non-fiction","crypto (#4), non-fiction (#37)",read,,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",4,4.13,Ballantine Books,Hardcover,342,2016,2016,2025/09/07,2025/03/12,"fiction, sci-fi, thriller","fiction (#29), sci-fi (#15), thriller (#4)",read,"A fun mind-bending sci-fi thriller! But also something deeper.<br/><br/>This book had a very introspective nature to it, and often made me think of my own decisions and things that could've been... all the infinite possible forms that one's life could have taken.",,,1,0
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""""","=""""",4,4.15,New World Library,Paperback,229,2004,1997,2022/09/07,2022/09/06,"psychology-philosophy, non-fiction","psychology-philosophy (#5), non-fiction (#18)",read,,,,1,0
40277241,Brief Answers to the Big Questions,Stephen W. Hawking,"Hawking, Stephen W.",,"=""1984819194""","=""9781984819192""",4,4.26,Bantam,Hardcover,256,2018,2018,2021/06/24,2022/09/08,"non-fiction, software-maths-science","non-fiction (#16), software-maths-science (#7)",read,,,,1,0
50125990,The Stellenbosch Mafia: Inside the Billionaire’s Club,Pieter Du Toit,"Toit, Pieter Du",,"=""1868429199""","=""9781868429196""",3,3.67,Jonathan Ball,Kindle Edition,240,2019,2019,2023/07/07,2023/06/13,"non-fiction, business-finance","non-fiction (#2), business-finance (#6)",read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",4,4.32,Avery,Kindle Edition,319,2018,2018,2024/04/25,2023/06/08,"non-fiction, psychology-philosophy","non-fiction (#28), psychology-philosophy (#7)",read,,,,1,0
43933,Tell No One,Harlan Coben,"Coben, Harlan",,"=""0440236703""","=""9780440236702""",4,4.05,Dell Publishing Company,Mass Market Paperback,370,2009,2001,,2022/09/06,"fiction, thriller","fiction (#2), thriller (#2)",read,,,,1,0
58491930,How to DeFi: Beginner,Darren Lau,"Lau, Darren","Sze Jin Teh, Kristian Kho, Erina Azmi, Benjamin Hor, Lucius Fang, Win Win Khor","=""""","=""""",3,3.80,,Kindle Edition,239,2021,,2021/09/21,2022/09/06,"crypto, non-fiction","crypto (#1), non-fiction (#19)",read,,,,1,0
6687247,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin,"Sorkin, Andrew Ross",,"=""0670021253""","=""9780670021253""",4,4.16,Viking,Hardcover,600,2009,2009,2022/12/02,2022/11/14,"business-finance, non-fiction","business-finance (#2), non-fiction (#11)",read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",3,4.15,Crown Currency,Hardcover,195,2014,2014,2024/06/02,2023/06/26,"business-finance, non-fiction","business-finance (#7), non-fiction (#29)",read,,,,1,0
134666822,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""""","=""""",4,4.32,Simon & Schuster UK,Kindle Edition,688,2023,2023,2024/11/20,2024/01/09,"biography, non-fiction","biography (#8), non-fiction (#32)",read,,,,1,0
61215384,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",4,4.58,William Morrow,Kindle Edition,432,2022,1955,2025/06/26,2025/10/31,"fiction, fantasy","fiction (#31), fantasy (#12)",read,"WHOLE SERIES REVIEW<br/><br/>Let me start off by saying that I wish I had not watched the movies prior to reading this series. Knowing how things end detracted from the suspense and made it feel like I was observing the story, rather than living it. I particularly felt this in the final novel, where the ending (by definition) plays a larger role.<br/><br/>That being said, the series is still a masterpiece. The world building is breathtaking, but what really had a profound impact on me were the hobbits themselves. Their sincerity, simplicity and refusal to complicate life gave me a childlike sense of wonder.<br/><br/>This lighthearted nature is not something I typically strive for in my reading, but Tolkien's ability to juxtapose innocence with evil was executed perfectly.<br/><br/>The Ring, too, struck me on a deeper level. Its power functions almost like a drug: seductive at first, then isolating, then destructive. Watching beloved characters slowly lose themselves to its influence was a unique portrayal of addiction, one that felt surprisingly modern.",,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",4,4.29,Penguin,Paperback,671,2002,1866,2025/08/21,2025/07/16,"fiction, classic","fiction (#28), classic (#1)",read,"A gripping but brutal portrayal of a man losing his mind and trying to find redemption.<br/><br/>The writing was extremely good and I was very invested in Raskolnikov's character, but seeing the someone's psyche deteriorate to such lows is no easy task. It was a great book, but not one that I enjoyed reading (not in the typical sense at least)<br/><br/>The Russian names confused me very much, I couldn't seem to make associations like I would with an English book.",,,1,0
29034,Twelve Angry Men,Reginald Rose,"Rose, Reginald",David Mamet,"=""0143104403""","=""9780143104407""",5,4.07,Penguin Classics,Paperback,96,2006,1954,2025/06/27,2025/06/27,fiction,fiction (#27),read,An excellent dissection of American legal system and society.<br/><br/>This book left me with so many questions: Does the American justice system truly work? Can anyone ever be completely objective? And what would have happened if there hadn’t been an 8th juror? I think that was the whole point.<br/><br/>Books written in the form of play scripts are certainly not my favourite but I did not mind making an exception here. The fact that it is such a quick read also helped make the format more tolerable.,,,1,0
63432,3001: The Final Odyssey,Arthur C. Clarke,"Clarke, Arthur C.",,"=""0345438205""","=""9780345438201""",4,3.60,Del Rey,Mass Market Paperback,272,1999,1999,2024/12/20,2024/12/22,"fiction, sci-fi","fiction (#19), sci-fi (#9)",read,"WHOLE SERIES REVIEW<br/><br/>This was my first ever space opera style sci-fi series and it did not disappoint! Very big ideas were explored and there's something very special reading about mankind landing on one of Jupiter's moons.<br/><br/>The scale of the story often had me in awe and I particularly liked the portrayal of AI, very impressive for a book published in the 60s. However, the lack of character depth and inconsistent pacing were at times off-putting.<br/><br/>Definitely worth a read!",,,1,0
36448501,The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,"Ammous, Saifedean",,"=""1119473861""","=""9781119473862""",5,4.17,Wiley,Hardcover,304,2018,2018,2021/08/03,2022/09/06,"crypto, non-fiction","crypto (#3), non-fiction (#21)",read,"An interesting read and a great deep dive into the fundamentals of currency, something we take for granted in today's age. Taking a step back and asking ""is this the best we can do?"" was a worthwhile exercise.",,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",5,4.40,TOR,Hardcover,604,2016,2010,2025/03/02,2025/02/16,"fiction, sci-fi","fiction (#22), sci-fi (#12)",read,"WHOLE SERIES REVIEW<br/><br/>I recently learned the term ""hard sci-fi"": A subgenre of science fiction writing that emphasizes scientific accuracy and precise technical detail.<br/><br/>That is EXACTLY what this series is, the hardest sci-fi you may ever find. So hard that it made me hard... (intellectually). All ~1500 pages were a mentally stimulating masterpiece, while still maintaining a poetic feel at times.<br/><br/>I enjoyed all 3 books, but book #2 (The Dark Forest) really stood out for me. Concepts like ""Wallfacers"" and the ""Dark Forrest Theory"" remain two of the coolest ideas I’ve ever encountered in fiction.<br/><br/>I couldn't believe learning that what I was reading was English translated from Mandarin... It read so smoothly that it felt like the original. Gave me a very interesting perspective on language and Chinese culture.<br/><br/>I couldn't have a higher degree of respect for an author and a hard sci-fi series.",,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.29,Ace,Hardcover,658,2019,1965,2025/10/16,2023/11/29,"fiction, sci-fi","fiction (#30), sci-fi (#16)",read,"A truly special flavour of sci-fi with an incredible level of breadth.<br/><br/>Herbert manages to bring together politics, religion, destiny, ecology, and economics in a surprisingly easy-to-follow space opera. What’s more, the novel is done in such a way that it can serve as either a stand-alone story or an intro into (what I can imagine is) a much deeper universe and storyline.<br/><br/>I felt a genuine attachment to the characters, something that’s often lost in big-idea sci-fi. The balance between scientific concept and the human condition is handled very well.<br/><br/>Conceptually, I loved the spice, the sandworms, and the feudal power structures. <br/><br/>If I had to sum up the novel in one sentence: A beautiful threesome between Game of Thrones, Arthur C. Clarke and the Bible.",,,1,0
52842983,The Road to Conscious Machines: The Story of AI,Michael Wooldridge,"Wooldridge, Michael",,"=""0241396743""","=""9780241396742""",5,4.16,Pelican,Hardcover,416,2020,2020,2021/04/18,2022/09/16,"software-maths-science, non-fiction","software-maths-science (#2), non-fiction (#13)",read,,,,1,0
50705179,Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,"Smil, Vaclav",,"=""0241454417""","=""9780241454411""",3,3.82,Viking,Hardcover,384,2020,2020,2021/10/25,2022/09/11,"software-maths-science, non-fiction","software-maths-science (#4), non-fiction (#15)",read,,,,1,0
38400400,The Art of Logic in an Illogical World,Eugenia Cheng,"Cheng, Eugenia",,"=""1541672488""","=""9781541672482""",3,3.47,Basic Books,Hardcover,320,2018,2018,2022/01/10,2022/09/16,"software-maths-science, non-fiction","software-maths-science (#3), non-fiction (#14)",read,,,,1,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",4,3.90,Random House Canada,Hardcover,409,2018,2018,2023/03/01,2023/01/28,"psychology-philosophy, non-fiction","psychology-philosophy (#1), non-fiction (#5)",read,,,,1,0
18774981,Waking Up: A Guide to Spirituality Without Religion,Sam Harris,"Harris, Sam",,"=""1451636016""","=""9781451636017""",5,3.90,Simon & Schuster,Hardcover,256,2014,2014,2023/06/18,2023/05/19,"psychology-philosophy, non-fiction","psychology-philosophy (#6), non-fiction (#3)",read,,,,1,0
