Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",4,4.36,New York Review Books,Paperback,292,2006,1965,2026/03/31,2025/07/16,,,read,"Now that was different… if you’re looking for a book that will blow your mind or endlessly entertain you, this is not the one.<br/><br/>The writing was undeniably beautiful, but in a quiet and non-flashy way. Just a man living an unremarkable life that could be viewed as both peaceful and depressing.<br/><br/>I have never finished a book with so little resolution, yet so much to think about. I can’t even say that I liked it, but not once did I consider putting it down.",,,1,0
656,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""0192833987""","=""9780192833983""",0,4.17,Oxford University Press,Paperback,1392,1998,1869,,2026/03/24,to-read,to-read (#191),to-read,,,,0,0
34454589,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,"=""1328879941""","=""9781328879943""",0,4.15,Houghton Mifflin Harcourt,Hardcover,320,2017,1985,,2026/03/24,to-read,to-read (#190),to-read,,,,0,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0143039954""","=""9780143039952""",0,3.84,Penguin Classics ,Paperback,541,2006,-800,,2026/03/24,to-read,to-read (#189),to-read,,,,0,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",0,4.02,Norton,Paperback,488,1986,1897,,2026/03/24,to-read,to-read (#188),to-read,,,,0,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,"=""0141439572""","=""9780141439570""",0,4.14,Penguin Classics,Paperback,253,2003,1890,,2026/03/24,to-read,to-read (#187),to-read,,,,0,0
56916837,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,4.26,Harper Perennial Modern Classics,Paperback,323,2021,1960,,2026/03/24,to-read,to-read (#186),to-read,,,,0,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.34,Laurel,Paperback,178,1988,1956,,2026/03/24,to-read,to-read (#185),to-read,,,,0,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",5,4.03,Viking,Hardcover,496,2014,1939,2026/03/23,2026/03/10,,,read,"Absolutely speechless after that ending.. I didn’t think anything would match East of Eden, yet Grapes of Wrath was just as powerful. The former makes one look inwards, the latter made me look outwards, at humans and society as a whole.<br/><br/>“””<br/>Maybe all men got one big soul ever'body's a part of.' Now I sat there thinkin' it, an' all of a suddent-I knew it. I knew it so deep down that it was true, and I still know it.<br/>“””",,,1,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",0,4.46,Harper,Hardcover,560,2022,2022,,2026/03/17,to-read,to-read (#184),to-read,,,,0,0
163977,Tortilla Flat,John Steinbeck,"Steinbeck, John",,"=""0582461502""","=""9780582461505""",0,3.83,Pearson Schools,Hardcover,256,2001,1935,,2026/03/10,to-read,to-read (#183),to-read,,,,0,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",0,3.90,Penguin Books,Paperback,107,2002,1937,,2026/03/10,to-read,to-read (#182),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",5,4.44,Penguin Books,Paperback,601,2002,1952,2026/03/10,2025/07/16,,,read,"Arguably the most powerful book I have ever had the pleasure of reading, and one that I truly hope sticks with me for the rest of my life.<br/><br/>“””<br/>A man, after he has brushed off the dust and chips of his life, will have only the hard, clean questions: Was it good or was it evil? Have I done well - or ill?<br/>“””",,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.81,Scribner,Hardcover,96,1996,1952,,2026/03/09,to-read,to-read (#181),to-read,,,,0,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,4.00,Tor Books,Hardcover,384,2006,2006,,2026/02/15,to-read,to-read (#180),to-read,,,,0,0
452235,"The Firm (The Firm, #1)",John Grisham,"Grisham, John",,"=""044021145X""","=""9780440211457""",4,4.26,Dell,Paperback,501,1992,1991,2026/02/15,2026/02/03,"fiction, thriller","fiction (#35), thriller (#5)",read,"As with most thrillers, The Firm was an easy and enjoyable read but not much to write home about.<br/><br/>My previous experiences with the genre have typically been more cat-and-mouse detective books, the crime-conglomerate and law focus did provide some welcomed novelty.<br/><br/>",,,1,0
182733784,Nuclear War: A Scenario,Annie Jacobsen,"Jacobsen, Annie",,"=""0593476093""","=""9780593476093""",0,4.36,Dutton,Hardcover,373,2024,2024,,2026/02/14,to-read,to-read (#179),to-read,,,,0,0
38743564,"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom         Wright,"Wright, Tom",Bradley Hope,"=""031643650X""","=""9780316436502""",0,4.07,Hachette Books,Hardcover,400,2018,2018,,2026/02/14,to-read,to-read (#178),to-read,,,,0,0
52838315,Greenlights,Matthew McConaughey,"McConaughey, Matthew",,"=""0593139135""","=""9780593139134""",0,4.20,Crown,Hardcover,289,2020,2020,,2026/02/14,to-read,to-read (#177),to-read,,,,0,0
39996759,A Philosophy of Software Design,John Ousterhout,"Ousterhout, John",,"=""1732102201""","=""9781732102200""",0,4.22,Yaknyam Press,Paperback,190,2018,2018,,2026/02/03,currently-reading,currently-reading (#1),currently-reading,,,,1,0
77565,"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,"Simmons, Dan",,"=""0553288202""","=""9780553288209""",4,4.24,Spectra,Mass Market Paperback,517,1995,1990,2026/02/07,2025/10/17,"fiction, sci-fi","fiction (#34), sci-fi (#19)",read,"A lot of what I liked about the first novel also held true (to an extent) in The Fall of Hyperion: the writing, the character depth and the overall twisted nature of The Shrike.<br/><br/>HOWEVER… There was simply too much going on in this one. I didn’t really care as much about the fate of the universe, politics, etc. I was more invested in the pilgrims and Shrike and I wish Simmons had focused solely on that angle.<br/><br/>It felt a bit overcomplicated but overall this really was an impressive and ambitious first half (books 1 & 2) of the series. Will consider books 3 & 4 at a later stage.",true,,1,0
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",0,4.35,Pearson,Paperback,464,2008,2007,,2026/02/06,to-read,to-read (#176),to-read,,,,0,0
179133,Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,"Evans, Eric",,"=""0321125215""","=""9780321125217""",0,4.15,Addison-Wesley Professional,Hardcover,560,2003,2003,,2026/02/06,to-read,to-read (#175),to-read,,,,0,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",0,3.96,Random House ,Hardcover,480,2007,2007,,2024/12/20,"incomplete, to-read","incomplete (#10), to-read (#174)",to-read,,,,1,0
817791,The Blind Side,Michael   Lewis,"Lewis, Michael",,"=""0393330478""","=""9780393330472""",0,4.17,W. W. Norton & Company,Paperback,339,2007,2006,,2026/02/03,to-read,to-read (#173),to-read,,,,0,0
26889576,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,"=""039335315X""","=""9780393353150""",0,4.30,W. W. Norton & Company,Paperback,291,2015,2010,,2026/02/03,to-read,to-read (#172),to-read,,,,0,0
52962238,Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,"Dalio, Ray",,"=""1982160276""","=""9781982160272""",0,4.27,Avid Reader Press / Simon & Schuster,Hardcover,576,2021,2021,,2026/02/03,to-read,to-read (#171),to-read,,,,0,0
17660462,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,"=""0316219266""","=""9780316219266""",0,4.14,"Little, Brown and Company",Hardcover,384,2013,2013,,2026/02/03,to-read,to-read (#170),to-read,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.17,Viking,Hardcover,487,2011,2011,,2026/02/03,to-read,to-read (#169),to-read,,,,0,0
20186,Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,James C. Scott,"Scott, James C.",,"=""0300078153""","=""9780300078152""",0,4.21,Yale University Press,Paperback,461,1999,1998,,2026/02/03,to-read,to-read (#168),to-read,,,,0,0
266819,Addictive Thinking: Understanding Self-Deception,Abraham J. Twerski,"Twerski, Abraham J.",,"=""1568381387""","=""9781568381381""",4,4.17,Hazelden,Paperback,136,1997,1990,,2026/01/15,"non-fiction, psychology-philosophy","non-fiction (#38), psychology-philosophy (#9)",read,,,,2,0
43798285,The Institute,Stephen  King,"King, Stephen",,"=""""","=""""",0,4.19,Scribner,Hardcover,561,2019,2019,,2026/01/16,to-read,to-read (#167),to-read,,,,0,0
7157080,"Design of Design, The: Essays from a Computer Scientist",Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",John Fuller,"=""0201362988""","=""9780201362985""",0,3.77,Addison-Wesley Professional,Paperback,448,2010,2010,,2026/01/11,to-read,to-read (#166),to-read,,,,0,0
34452,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives",Brian L. Weiss,"Weiss, Brian L.",,"=""0446520594""","=""9780446520591""",0,4.17,Grand Central Publishing,Hardcover,224,1996,1988,,2026/01/10,to-read,to-read (#165),to-read,,,,0,0
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2025/12/24,to-read,to-read (#164),to-read,,,,0,0
83817782,Determined: A Science of Life without Free Will,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""0525560971""","=""9780525560975""",0,4.23,Penguin Press,Hardcover,528,2023,2023,,2025/12/04,to-read,to-read (#163),to-read,,,,0,0
11289,"The Rise of Endymion (Hyperion Cantos, #4)",Dan Simmons,"Simmons, Dan",,"=""0553572989""","=""9780553572988""",0,4.17,Spectra,Mass Market Paperback,709,1998,1997,,2025/11/09,to-read,to-read (#162),to-read,,,,0,0
3977,"Endymion (Hyperion Cantos, #3)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""0553572946""","=""9780553572940""",0,4.19,Bantam Spectra,Mass Market Paperback,563,1996,1996,,2025/11/09,to-read,to-read (#161),to-read,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",5,4.28,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,2025/11/09,2025/03/12,"fantasy, fiction, sci-fi","fantasy (#13), fiction (#33), sci-fi (#18)",read,"An extremely ambitious and obscure novel. Did I love it? Yes. Am I confused? Absolutely. Is it for everybody? No.<br/><br/>I really enjoyed the structure, where each character had their own tale somehow relating to the overarching story. This Canterbury-style framework gives a literary weight to each character’s history, as if the novel were a collection of timeless classics woven together.<br/><br/>My favourite of the tales were:<br/>- The Priest's Tale: The Man Who Cried God<br/>- The Scholar's Tale: The River Lethe's Taste is Bitter<br/><br/>Some of the ideas and sub-plots explored in this novel were absolutely harrowing, I loved that and it was a pleasant throwback to my Stephen King reading stint. Speaking of which, I definitely got Dark Tower vibes from this book, not in plot but in atmosphere. It has that same sense of niche cosmic weirdness that somehow just works.",,,1,0
100779,Reminiscences of a Stock Operator,Edwin Lefèvre,"Lefèvre, Edwin","Roger Lowenstein, Rick Rohan","=""0471770884""","=""9780471770886""",0,4.18,Doubleday & Company,Hardcover,308,1923,,,2025/11/06,to-read,to-read (#160),to-read,,,,0,0
55361205,A Promised Land,Barack Obama,"Obama, Barack",,"=""1524763187""","=""9781524763183""",0,4.31,Crown,Kindle Edition,768,2020,2020,,2025/11/06,to-read,to-read (#159),to-read,,,,0,0
149267,The Stand,Stephen  King,"King, Stephen",Bernie Wrightson,"=""""","=""""",5,4.35,Doubleday Books,Hardcover,1152,1990,1978,2024/02/26,2025/11/02,"fiction, sci-fi","fiction (#32), sci-fi (#17)",read,"An absolute masterpiece and my favourite Stephen King book.<br/><br/>That grand-scale carnage and devastation scratched an itch I never even knew existed. Those early interlude chapters that zoom out from the main cast and show the superflu wiping out everyday people were so twisted...<br/><br/>I didn't love the supernatural elements and think King could've just stuck with the superflu, but it didn't detract from too much from this unbelievable reading experience.",,,1,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",4,4.46,Scribner,Hardcover,400,2016,2016,2022/11/08,2022/09/06,"biography, non-fiction","biography (#2), non-fiction (#25)",read,,,,1,0
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",4,4.31,Vintage Books,Paperback,721,2007,2005,2022/12/21,2022/12/21,"biography, non-fiction","biography (#1), non-fiction (#9)",read,"The man who changed the nature of warfare and politics forever...<br/><br/>This was a great read, but 700+ pages (especially a non-fiction) is too long for my liking.",,,1,0
52054094,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""""","=""""",5,4.16,"Little, Brown",Kindle Edition,568,2019,2011,2024/07/15,2023/10/18,"biography, non-fiction","biography (#7), non-fiction (#30)",read,"Once again Walter Isaacson has done an exceptional job at dissecting a very complicated man.<br/><br/>Steve Jobs was often not the most likeable man, but he undoubtedly changed the world forever. His story was an absolute pleasure to read as a tech enthusiast and long-time Apple user.",,,1,0
